"_id","TIMESTAMP","SHORT_DESC","LONG_DESC","TYPE","LEVEL"
"65","Sep 7, 2017 10:10:15 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"66","Sep 7, 2017 10:10:41 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"67","Sep 7, 2017 10:10:41 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"68","Sep 7, 2017 10:10:50 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"69","Sep 7, 2017 10:10:58 PM","App Started/Resumed: [Terminal Emulator]","Application 'Terminal Emulator'[jackpal.androidterm] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"70","Sep 7, 2017 10:11:05 PM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"71","Sep 7, 2017 10:11:18 PM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"72","Sep 7, 2017 10:11:21 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"73","Sep 7, 2017 10:11:34 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"74","Sep 7, 2017 10:12:37 PM","Screen Turned On","Screen has been turned on.","screen","info"
"75","Sep 7, 2017 10:12:57 PM","Screen Unlocked","User has unlocked the device.","screen","info"
"76","Sep 7, 2017 10:14:14 PM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"77","Sep 7, 2017 10:14:40 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"78","Sep 7, 2017 10:14:47 PM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
